"perc025","perc975"
-6.507375,4.738625
0.135125,12.86125
-0.297625,11.321
1.037875,14.33025
-4.04225,5.86749999999999
-3.968375,6.1655
-3.424625,9.518875
0.208,11.484625
1.1975,24.35775
-3.515,9.383875
-5.151,8.06762499999999
-5.59025,6.75124999999999
-5.87375,7.04674999999998
-3.20275,10.035
-0.510375,11.708
1.637,13.842375
-4.14875,6.613125
-2.642875,9.71474999999998
-0.992625,11.417875
-3.8335,10.415
-7.276375,1.12425
3.905875,16.60875
2.232125,19.282875
-3.4295,7.92175
-5.125875,7.6255
-5.554875,5.731375
-2.869375,11.485375
-9.055,1.741375
-4.667625,7.708375
-0.5115,10.818125
-11.2835,-3.405875
-3.0885,7.838375
1.002375,15.33775
-6.8835,1.322875
-0.734375,12.52425
-1.6305,11.937875
-4.162625,9.23912499999999
-1.286,13.03075
-2.366125,12.167875
-4.383875,8.76175
-4.81025,5.909125
-3.70125,5.98675
-5.503375,4.576375
-4.019125,7.158625
-7.125375,4.06149999999999
-5.710125,7.00549999999999
-3.513125,8.404125
-8.1115,1.93099999999999
-3.447,8.560125
-1.923625,12.832625
-1.412625,8.84699999999999
-1.824125,11.755125
-5.705625,7.258875
-5.80525,4.97899999999999
-4.528625,6.910125
-4.578375,5.844125
-0.7595,16.87225
-0.53875,12.811
-5.531875,4.737875
-4.994375,5.5125
-0.364125,13.81525
-4.767625,6.13162499999999
-2.666125,12.92375
-2.53525,6.480375
-6.461625,3.54149999999999
-4.77825,5.0715
-0.54425,15.41325
0.97025,12.01475
-3.52875,5.95887499999999
-5.495875,8.69875
-0.341875,13.195
1.141,17.486
-0.122625,15.273375
-7.63925,3.2135
-2.951625,10.819875
-2.49075,9.54225
2.5465,14.69275
1.546625,14.7445
-8.331,2.51062499999999
-0.377,12.499125
-4.29825,3.541875
-3.836,8.68475
-6.773125,4.1885
-3.57825,11.095
-6.216125,5.232625
-5.549,8.48987499999998
-5.352625,3.574
0.095625,16.159
-3.904125,9.82887499999999
-8.267,2.378125
-1.525125,12.9525
-2.3485,9.36275
-2.858375,10.228125
-6.917375,3.72549999999999
-5.983375,4.137625
-3.11,11.010375
-4.398375,6.781125
-5.1785,7.2675
-5.670875,7.346
-0.67025,11.495125
